CNA,ErrorCode,ErrorName,ErrorCount
Pentraze,E007,check-invalid-version-string,2
Perforce,E004,check-leading-trailing-space,7
Perforce,E007,check-invalid-version-string,24
Philips,E007,check-invalid-version-string,3
Philips,E010,check-invalid-self-references,3
Phoenix,E004,check-leading-trailing-space,3
Ping Identity,E004,check-leading-trailing-space,6
Ping Identity,E007,check-invalid-version-string,1
Ping Identity,E008,check-invalid-vendor-string,1
Ping Identity,E009,check-invalid-product-string,1
PostgreSQL,E007,check-invalid-version-string,6
PostgreSQL,E008,check-invalid-vendor-string,11
ProgressSoftware,E004,check-leading-trailing-space,33
ProgressSoftware,E007,check-invalid-version-string,90
Proofpoint,E004,check-leading-trailing-space,9
Proofpoint,E007,check-invalid-version-string,61
PureStorage,E004,check-leading-trailing-space,6
PureStorage,E007,check-invalid-version-string,1
Qualys,E004,check-leading-trailing-space,7
Qualys,E007,check-invalid-version-string,3
Replicated,E007,check-invalid-version-string,1
Replicated,E008,check-invalid-vendor-string,1
Rockwell,E004,check-leading-trailing-space,63
Rockwell,E007,check-invalid-version-string,234
Rockwell,E008,check-invalid-vendor-string,2
SEC-VLab,E007,check-invalid-version-string,34
SEL,E004,check-leading-trailing-space,37
SICK AG,E004,check-leading-trailing-space,26
SICK AG,E007,check-invalid-version-string,167
SICK AG,E008,check-invalid-vendor-string,28
SK-CERT,E004,check-leading-trailing-space,2
SK-CERT,E007,check-invalid-version-string,8
SN,E004,check-leading-trailing-space,5
SN,E007,check-invalid-version-string,92
SNPS,E004,check-leading-trailing-space,4
SNPS,E007,check-invalid-version-string,28
SRA,E004,check-leading-trailing-space,2
STAR_Labs,E004,check-leading-trailing-space,7
SWI,E004,check-leading-trailing-space,7
SWI,E007,check-invalid-version-string,6
SWI,E008,check-invalid-vendor-string,2
SailPoint,E004,check-leading-trailing-space,1
SailPoint,E007,check-invalid-version-string,3
Salesforce,E007,check-invalid-version-string,21
Salesforce,E008,check-invalid-vendor-string,10
Samsung Mobile,E006,check-affected-product-present,1
Samsung Mobile,E007,check-invalid-version-string,1007
Samsung Mobile,E008,check-invalid-vendor-string,1
SamsungMobile,E007,check-invalid-version-string,243
Secomea,E004,check-leading-trailing-space,5
Silabs,E004,check-leading-trailing-space,16
Silabs,E007,check-invalid-version-string,2
Silver Peak,E007,check-invalid-version-string,16
Snow,E004,check-leading-trailing-space,4
Snow,E007,check-invalid-version-string,2
SoftIron,E004,check-leading-trailing-space,3
SolarWinds,E004,check-leading-trailing-space,53
SolarWinds,E007,check-invalid-version-string,173
Solidigm,E006,check-affected-product-present,8
Sophos,E004,check-leading-trailing-space,1
Sophos,E007,check-invalid-version-string,28
Sophos,E008,check-invalid-vendor-string,1
Sophos,E009,check-invalid-product-string,1
Splunk,E004,check-leading-trailing-space,11
Splunk,E007,check-invalid-version-string,48
Synaptics,E007,check-invalid-version-string,12
TECNOMobile,E007,check-invalid-version-string,2
THA-PSIRT,E004,check-leading-trailing-space,2
THA-PSIRT,E007,check-invalid-version-string,3
TML,E004,check-leading-trailing-space,32
TPLink,E007,check-invalid-version-string,1
TR-CERT,E004,check-leading-trailing-space,186
TR-CERT,E006,check-affected-product-present,1
TR-CERT,E007,check-invalid-version-string,21
